time,linear_x,angular_z
8.045088,0.000000,0.000000
8.053104,0.000000,1.000000
8.064269,0.000000,0.000000
8.083911,0.000000,-1.000000
8.089420,0.000000,0.000000
8.125913,0.000000,-1.000000
8.131049,0.000000,0.000000
8.142604,0.000000,1.000000
8.154754,0.000000,0.000000
8.160872,0.000000,-1.000000
8.175377,0.000000,0.000000
9.034261,0.000000,0.000000
9.039768,0.000000,0.000000
9.066810,0.000000,1.000000
9.084069,0.000000,-1.000000
9.107247,0.000000,-1.000000
9.117252,0.000000,-1.000000
9.117843,0.000000,-1.000000
9.118459,0.000000,-1.000000
9.119051,0.000000,-1.000000
9.119653,0.000000,-1.000000
9.120268,0.000000,-1.000000
9.120841,0.000000,-1.000000
9.121516,0.000000,-1.000000
9.122103,0.000000,-1.000000
9.122625,0.000000,-1.000000
9.123242,0.000000,-1.000000
9.123858,0.000000,-1.000000
9.124455,0.000000,-1.000000
9.125051,0.000000,-1.000000
9.125683,0.000000,-1.000000
9.126252,0.000000,-1.000000
9.126844,0.000000,-1.000000
9.127533,0.000000,-1.000000
9.128114,0.000000,-1.000000
9.128670,0.000000,-1.000000
9.129259,0.000000,-1.000000
9.129854,0.000000,-1.000000
9.130452,0.000000,-1.000000
9.131067,0.000000,-1.000000
9.131660,0.000000,-1.000000
9.132229,0.000000,-1.000000
9.132853,0.000000,-1.000000
9.133526,0.000000,-1.000000
9.134089,0.000000,-1.000000
9.134656,0.000000,-1.000000
9.135271,0.000000,-1.000000
9.135847,0.000000,-1.000000
9.136459,0.000000,-1.000000
9.137052,0.000000,-1.000000
9.137655,0.000000,-1.000000
9.138247,0.000000,-1.000000
9.138847,0.000000,-1.000000
9.139509,0.000000,-1.000000
9.140103,0.000000,-1.000000
9.140627,0.000000,-1.000000
9.141323,0.000000,-1.000000
9.141933,0.000000,-1.000000
9.142522,0.000000,-1.000000
9.143053,0.000000,-1.000000
9.143640,0.000000,-1.000000
9.144254,0.000000,-1.000000
9.144846,0.000000,-1.000000
9.145435,0.000000,-1.000000
9.146075,0.000000,-1.000000
9.146650,0.000000,-1.000000
9.147241,0.000000,-1.000000
9.147930,0.000000,-1.000000
9.148522,0.000000,-1.000000
9.149078,0.000000,-1.000000
9.149598,0.000000,-1.000000
9.150249,0.000000,-1.000000
9.150846,0.000000,-1.000000
9.151434,0.000000,-1.000000
9.152045,0.000000,-1.000000
9.152658,0.000000,-1.000000
9.153254,0.000000,-1.000000
9.153841,0.000000,-1.000000
9.154477,0.000000,-1.000000
9.155101,0.000000,-1.000000
9.155658,0.000000,-1.000000
9.156251,0.000000,-1.000000
9.156844,0.000000,-1.000000
9.157458,0.000000,-1.000000
9.158051,0.000000,-1.000000
9.158610,0.000000,-1.000000
9.159253,0.000000,-1.000000
9.159854,0.000000,-1.000000
9.160533,0.000000,-1.000000
9.161094,0.000000,-1.000000
9.161660,0.000000,-1.000000
9.162250,0.000000,-1.000000
9.162847,0.000000,-1.000000
9.163462,0.000000,-1.000000
9.164043,0.000000,-1.000000
9.164653,0.000000,-1.000000
9.165253,0.000000,-1.000000
9.165849,0.000000,-1.000000
9.166514,0.000000,-1.000000
9.167103,0.000000,-1.000000
9.167659,0.000000,-1.000000
9.168241,0.000000,-1.000000
9.168912,0.000000,-1.000000
9.169455,0.000000,-1.000000
9.170086,0.000000,-1.000000
9.170650,0.000000,-1.000000
9.171245,0.000000,-1.000000
9.171840,0.000000,-1.000000
9.174071,0.000000,0.000000
9.187148,0.500000,0.000000
9.197145,0.500000,0.000000
9.197736,0.500000,0.000000
9.198351,0.500000,0.000000
9.198944,0.500000,0.000000
9.199553,0.500000,0.000000
9.200178,0.500000,0.000000
9.200754,0.500000,0.000000
9.201420,0.500000,0.000000
9.201986,0.500000,0.000000
9.202626,0.500000,0.000000
9.203147,0.500000,0.000000
9.203755,0.500000,0.000000
9.204355,0.500000,0.000000
9.204972,0.500000,0.000000
9.205537,0.500000,0.000000
9.206144,0.500000,0.000000
9.206738,0.500000,0.000000
9.207388,0.500000,0.000000
9.208020,0.500000,0.000000
9.208639,0.500000,0.000000
9.209211,0.500000,0.000000
9.209749,0.500000,0.000000
9.210346,0.500000,0.000000
9.210944,0.500000,0.000000
9.211555,0.500000,0.000000
9.212157,0.500000,0.000000
9.212740,0.500000,0.000000
9.213439,0.500000,0.000000
9.214027,0.500000,0.000000
9.214639,0.500000,0.000000
9.215174,0.500000,0.000000
9.215746,0.500000,0.000000
9.216414,0.500000,0.000000
9.216990,0.500000,0.000000
9.217583,0.500000,0.000000
9.218143,0.500000,0.000000
9.218736,0.500000,0.000000
9.219353,0.500000,0.000000
9.229430,0.500000,0.000000
9.239503,0.500000,0.000000
9.240023,0.500000,0.000000
9.240624,0.500000,0.000000
9.241223,0.500000,0.000000
9.241819,0.500000,0.000000
9.242450,0.500000,0.000000
9.243107,0.500000,0.000000
9.243644,0.500000,0.000000
9.244255,0.500000,0.000000
9.244896,0.500000,0.000000
9.245460,0.500000,0.000000
9.246110,0.500000,0.000000
9.246631,0.500000,0.000000
9.247233,0.500000,0.000000
9.247829,0.500000,0.000000
9.248427,0.500000,0.000000
9.249029,0.500000,0.000000
9.249605,0.500000,0.000000
9.250249,0.500000,0.000000
9.250827,0.500000,0.000000
9.251499,0.500000,0.000000
9.252074,0.500000,0.000000
9.252641,0.500000,0.000000
9.253234,0.500000,0.000000
9.253832,0.500000,0.000000
9.254448,0.500000,0.000000
9.255017,0.500000,0.000000
9.255640,0.500000,0.000000
9.256250,0.500000,0.000000
9.256823,0.500000,0.000000
9.257492,0.500000,0.000000
9.258093,0.500000,0.000000
9.258645,0.500000,0.000000
9.259264,0.500000,0.000000
9.259826,0.500000,0.000000
9.260421,0.500000,0.000000
9.261036,0.500000,0.000000
9.261653,0.500000,0.000000
9.262227,0.500000,0.000000
9.262828,0.500000,0.000000
9.263477,0.500000,0.000000
9.264117,0.500000,0.000000
9.264621,0.500000,0.000000
9.265280,0.500000,0.000000
9.265840,0.500000,0.000000
9.266423,0.500000,0.000000
9.267041,0.500000,0.000000
9.267632,0.500000,0.000000
9.268194,0.500000,0.000000
9.268821,0.500000,0.000000
9.269504,0.500000,0.000000
9.270087,0.500000,0.000000
9.270633,0.500000,0.000000
9.271249,0.500000,0.000000
9.271826,0.500000,0.000000
9.272485,0.500000,0.000000
9.273110,0.500000,0.000000
